_id,Ward,Sub_ward,Cluster_Wote,Cluster_Nziu,Project_ID,Project_Name_or_Title,Project_Description,Category,Type_of_facility,What_type_of_facility_or_project_is_it,What_is_the_project_s_apparent_status,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Project_Name_for_Print,type_of_facility_for print
21754198,wote,wote,Wote_town,,13,Kaiti sand dam,Construction complete,water_irrigati,Other_1,Sand dam,completed,Excellent,Well constructed and can serve many people,Kaiti sand dam,dam
21746971,wote,wote,Nthangu,,4,Kaiti Sand dam -( Utooni),Sand dam,water_irrigati,Other_1,Sand dam,completed,Excellent,Excellent ,Kaiti Sand dam -( Utooni),dam
21748233,wote,nziu,,Nziu,2,Yamuthinzi earth dam,Construction of an earth dam,water_irrigati,earth_dam,,completed,Excellent,Provided sufficient water for irrigation and domestic use,Yamuthinzi earth dam,dam
21748359,wote,nziu,,Nziu,3,Maternity block-Nziu health centre,Construction and equipping of a maternity block,health,maternity_ward,,completed,Excellent,Provided accessible service to the community,Nziu Health Centre,health facility
21748410,wote,nziu,,Nziu,4,Staff quarters ,Construction of staff quarters ,health,Other_1,Staff quarters,completed,Excellent,Has provided house for the staff hence easy for the community to access their service any time of the day. ,Nziu health centre ,health facility
21748436,wote,nziu,,Nziu,5,Casualty block - Nziu health centre ,Construction of a casualty block,health,Other_1,Casualty block ,completed,Excellent,Provided accessible health services,Nziu health centre ,health facility
21741809,wote,wote,Malivani,,9,Prison dispensary ,Construction of prison dispensary ,health,dispensary,,completed,Excellent,Provided health services for prisoners ,Prison dispensary ,health facility
21774187,wote,wote,Kivandini,,8,Extension of kwakamende borehole,The project is complete,water_irrigati,Other_1,Extension line,completed,Adequate,The project is complete  and in use,Kwa kamende borehole,infrastructure
21741919,wote,wote,Malivani,,10,Ndue nguu drift,Construction of ndue nguu drift,transport,Other_1,Drift ,completed,Excellent,Enhance good transport ,Ndue nguu drift,infrastructure
21744164,wote,wote,Wote_town,,17,Wote bus station cabro paving,Wore stage cabro paving,transport,Other_1,Wore bus stop,completed,Adequate,Eased transport,Wote bus station cabro paving,infrastructure
21746207,wote,wote,Wote_town,,16,Boda boda shed,Construction,gender,Other_1,Boda boda shed,completed,Adequate,It is useful to atleast 10 operators.,Boda boda shed opposite kapeo petrol station,public facility
21745593,wote,wote,Wote_town,,10,Bodaboda shed opposite jimeli supermarket,Construction,gender,Other_1,Bodaboda shed,completed,Adequate,It is serving atleast 10 bodaboda operators.,Boda boda shed opposite jimeli supermarket,public facility
21746173,wote,wote,Wote_town,,15,Boda boda shed,Construction,gender,Other_1,Construction the shed,completed,Adequate,Serving atleast 10 operators,Boda boda shed at the hospital gate,public facility
21747235,wote,wote,Kivandini,,23,Recording studio,Construction of community studio,devolution,Other_1,Community radio station,completed,Adequate,Good,Community radio station,public facility
21746987,wote,wote,Nthangu,,5,Kaiti Cattle Dip,Cattle Dip,agriculture,Other_1,Cattle Dip,completed,Adequate,Good,Kaiti Cattle Dip,public facility
21745569,wote,wote,Wote_town,,9,Kasarani boda boda shed,Construction,gender,Other_1,Bodaboda shed,completed,Adequate,Serving atleast 10 boda boda operators,Kasarani boda boda shed,public facility
21744024,wote,wote,Wote_town,,15,Kasarani car wash ,Supply of water,gender,Other_1,Kasarani car wash water supply,completed,Adequate,Improved employed,Kasarani car wash ,public facility
21745625,wote,wote,Wote_town,,11,Boda boda shed,Construction,gender,Other_1,Boda boda shed,completed,Adequate,It is serving atleast 10 bodaboda operators,Kiuukuni boda boda shed opposite bus stage,public facility
21747113,wote,wote,Kivandini,,21,Makueni fitness centre,Construction of fitness centre,gender,Other_1,Fitness centre,completed,Adequate,Good,Makueni fitness centre,public facility
21741244,wote,wote,Malivani,,4,Malivani public toilet ,Construction of public toilet ,health,public_toilet,,completed,Adequate,"Improved sanitation, ",Malivani public toilet ,public facility
21748925,wote,nziu,,Nziu,6,Nziu bodaboda shed,Nziu bodaboda shed,gender,Other_1,Bodaboda shed,completed,Excellent,Provided shed for the motorcycle operators. ,Nziu bodaboda shed,public facility
21748096,wote,nziu,,Nziu,1,Nziu social hall,Well maintained  hall serving people's purpose within the sub county,gender,social_hall,,completed,Excellent,It's of good quality.  Provided a room for community gathering. ,Nziu social hall,public facility
21744084,wote,wote,Wote_town,,15,Unoa stadium,Leveling,gender,sports_ground,,in_progress,Adequate,Improved youth talent,Unoa stadium,public facility
